Campaign,Ad Group,Max CPC,Ad Group Status
1L Search - Data Competitors,Skip Trace Competitors,7.00,Enabled
1L Search - Data Competitors,B2B Data Competitors,12.00,Enabled
1L Search - Data Competitors,SERP & Scraper Competitors,9.00,Enabled
1L Search - Data Competitors,IP Data Competitors,8.00,Enabled
1L Search - New Products,SERP & Search Data,6.00,Enabled
1L Search - New Products,Social Data,7.00,Enabled
1L Search - New Products,Video & Transcription,7.00,Enabled
1L Search - New Products,Property & Real Estate Data,8.00,Enabled
1L Search - New Products,Person & Profile Data,9.00,Enabled
1L Search - New Products,Website Visitor ID,10.00,Enabled
1L Search - New Products,Business Verification,8.00,Enabled
1L Search - New Products,Ad Intelligence,6.00,Enabled
1L Search - New Products,Append Services,12.00,Enabled
